0
5000
10000
14000
18000
22000
25000
29000
31000
33000
35000
37000
39000
41000

240			220			200			180			160			140			120
0 0 0		0 0 0		0 0 0		0 0 0		0 0 0		0 0 0		0 0 0
4 1173 12	4 1041 10	3 918 9		3 806 8		2 703 7		2 608 6		2 520 5
6 1771 23	6 1565 20	5 1377 17	4 1205 15	4 1048 13	3 903 11	3 769 9
9 2424 38	8 2142 33	7 1884 29	6 1649 25	5 1433 22	5 1234 19	4 1048 16
11 2944 52	10 2597 46	9 2282 40	8 1995 35	7 1733 30	6 1490 26	5 1264 22
14 3512 71	12 3089 62	11 2708 54	9 2364 47	8 2050 41	7 1760 35	6 1490 29
17 3992 89	15 3498 77	13 3058 67	11 2663 58	10 2305 50	8 1975 43	7 1670 36
21 4763 122	18 4135 105	16 3590 90	14 3110 77	12 2680 66	10 2290 56	8 1930 47
24 5218 144	20 4495 122	18 3883 104	15 3351 89	13 2880 76	11 2454 64	9 2065 54
27 5638 166	23 4807 139	19 4126 117	16 3547 100	14 3039 84	12 2585 71	10 2170 59
31 6248 202	25 5185 161	21 4402 133	18 3759 112	15 3208 94	13 2720 79	11 2279 65
-1 -1 -1	-1 -1 -1	24 4753 155	20 4011 128	17 3399 106	14 2870 88	12 2397 73
-1 -1 -1	-1 -1 -1	-1 -1 -1	23 4334 150	19 3627 122	16 3040 100	13 2527 82
-1 -1 -1	-1 -1 -1	-1 -1 -1	-1 -1 -1	22 3903 143	18 3232 115	14 2669 93
